X,Y,cod_punto,prop_poste,iden_punto,cluster,cod_prov,cod_cant,cod_parr,provincia,canton,parroquia,direccion,longitud,latitud,operadora,estado,tipo_servi,tipo_punto,desc_punto,situacion,OLT,ZONA,ELEMENTO_P,Tipo_de_He,icon_url
-80.7320993813433,-0.94955642728937,"230",cnel,M01-01_T3D8N02,M1C005,"13","1308","130850",manabi,manta,manta,av. 25 entre calle 15 y calle 11,529806.674299999955110,9895044.232999999076128,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7316133056122,-0.949623655190787,"231",cnel,M01-01_T3D8N03,M1C005,"13","1308","130850",manabi,manta,manta,calle 15 entre av. 24 y av. 35,529860.755000000004657,9895036.798000000417233,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7318857723787,-0.949853746490161,"232",cnel,M01-01_T3D8N05,M1C005,"13","1308","130850",manabi,manta,manta,av. 25 entre calle 15 y calle 11,529830.438100000028498,9895011.368000000715256,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7316120855403,-0.950223212300769,"233",cnel,M01-01_T3D8N04,M1C005,"13","1308","130850",manabi,manta,manta,av. 25 entre calle 15 y calle 11,529860.885600000037812,9894970.528000000864267,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7312521278309,-0.95019437788633,"234",cnel,M01-01_T3D8N14,M1C005,"13","1308","130850",manabi,manta,manta,calle 14 entre calle 12 y av. 24,529900.935100000002421,9894973.711999999359250,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.731367059497,-0.950588581939866,"235",cnel,M01-01_T3D8N13,M1C005,"13","1308","130850",manabi,manta,manta,av. 25 entre calle 15 y calle 11,529888.144300000043586,9894930.141000000759959,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7318374446706,-0.950645073196749,"236",cnel,M01-01_T3D8N15,M1C005,"13","1308","130850",manabi,manta,manta,calle 14 entre calle 12 y av. 24,529835.808300000033341,9894923.901000000536442,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7320007167966,-0.950573269367872,"237",cnel,M01-01_T3D8N08,M1C005,"13","1308","130850",manabi,manta,manta,av. 26 entre calle 15 y calle 11,529817.643099999986589,9894931.838999999687076,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7322978451828,-0.950177052812578,"238",cnel,M01-01_T3D8N07,M1C005,"13","1308","130850",manabi,manta,manta,calle 15 entre av. 24 y av. 35,529784.587700000032783,9894975.635999999940395,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7328500173219,-0.950631472843958,"239",cnel,M01-01_T3D8N06,M1C005,"13","1308","130850",manabi,manta,manta,calle 15 entre av. 24 y av. 35,529723.148599999956787,9894925.413000000640750,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
